Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-07-04 14:00:00,2023-07-04 14:50:00,00:50:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,B,Otros (Int.) (P Madera L3),  Operaciones,,N,S,"Inversiones RotaBarker
(tiempo acumulado durante turno).
",,,,,
2023-07-04 12:30:00,2023-07-04 13:00:00,00:30:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,B,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,"Retiro De Metal y alambres
 (tiempo acumulado durante turno)
",,,,,
2023-07-04 10:15:00,2023-07-04 11:15:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,B,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,.,,,,,
2023-07-04 06:15:00,2023-07-04 06:50:00,00:35:00,210-25-702/1/1  TRANSP CADENA ALIMENT A DESCORTEZA,P Madera L3,A,Limpieza de Equipo (Int.) (P Madera L3),  Operaciones,,N,S,Limpieza  corteza en la  placa traspaso de trozos del Power Feed 210-25-702,,,,,
2023-07-04 02:15:00,2023-07-04 02:35:00,00:20:00,210-25-701A/1/1  CUBIERTA RECEPCION DE TRONCOS L3,P Madera L3,A,Otros (Int.) (P Madera L3),  Operaciones,,N,S,Auto inversiones de limpieza del Separador de Piedras 210-25-701/B  por alto torque. Tiempo acumulativo turno,,,,,
2023-07-04 01:30:00,2023-07-04 02:00:00,00:30:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,A,Otros (Int.) (P Madera L3),  Operaciones,,N,S,Auto inversiones de limpieza del RTBK 210-21-703 por alto torque. Tiempo acumulativo turno.,,,,,
2023-07-04 01:00:00,2023-07-04 01:10:00,00:10:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,A,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,Se actúa detector de metales QS-3205 de la cinta 385; se retiran alambres. Tiempo acumulativo turno.,,,,,
2023-07-04 00:40:00,2023-07-04 00:40:00,00:00:00,210-20-207  DETECTOR DE METALES,P Madera L3,A,Prueba de Equipo (P Madera L3),  Operaciones,,N,N,,,,,,
2023-07-03 22:00:00,2023-07-03 22:30:00,00:30:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,C,Otros (Int.) (P Madera L3),  Operaciones,,N,S,"- Autoinversiones rotabarker por alto torque en modulos N°1 y 2, autolimpieza",,,,,
2023-07-03 19:55:00,2023-07-03 20:55:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,C,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,"- Cuchillos retirados con desgaste normal
- Se inspecciona ducto de finos",,,,,
